route_id,boardings_mean,alightings_mean,load_mean,boardings_median,samples,dir_0_count,dir_1_count,headway_mean,headway_std,scheduled_headway_mean,earliness_mean,stops_count,records,on_time_rate,boardings_mean_scaled,alightings_mean_scaled,load_mean_scaled,boardings_median_scaled,samples_scaled,dir_0_count_scaled,dir_1_count_scaled,headway_mean_scaled,headway_std_scaled,scheduled_headway_mean_scaled,earliness_mean_scaled,stops_count_scaled,records_scaled,on_time_rate_scaled
116,1.4880285277636272,1.4951095262353542,16.521192052980133,0.5,1963,811,1152,1391.977671936739,725.3879307321032,1372.2532981530344,-35.09348571428571,10,220549,0.007109531215285492,1.8925368304819528,1.9332120383971194,1.6898575092406336,1.1345633708846727,-0.5360161105884985,-0.5346798294184598,-0.5273191866955899,2.3146301756490377,0.04590404204247381,2.356712188807585,1.2205236424805064,-1.267059806639052,-0.7711832816659275,-0.8472883108949982
117,1.3939632545931757,1.3953193350831146,14.935520559930008,0.5,2286,1083,1203,1689.356480065705,3804.5582725043605,1682.0075515115177,-18.50789347791421,18,253382,0.007928740005209526,1.6160639691511636,1.6312348165144246,1.2571757270489712,1.1345633708846727,-0.5274954570738943,-0.5201158572177527,-0.5247166382198184,3.5357835350156166,4.474870814805977,3.6201513377471897,1.3958246383624011,-0.17476686988124868,-0.619224931466887,-0.8376555208299433
15,0.6970246085011186,0.6983221476510068,9.248568232662192,0.3,4470,1943,2527,1008.1578058482797,1698.923311805039,1001.0010420108267,-73.31343492241018,19,400914,0.004469786537761216,-0.4323500221410559,-0.4779632107716068,-0.29462152666092917,0.10314212462587916,-0.46988212185440387,-0.4740680039361052,-0.45715243857430243,0.7385161216096275,1.4462019717763643,0.8424323057824604,0.8165588600805839,-0.03823025278652327,0.06358563477941565,-0.8783281466690931
16,1.295472837022133,1.2948189134808852,13.487525150905434,0.5,1988,924,1064,766.3312299575877,437.2270409953009,699.6572280178838,-177.95924590059016,21,256754,0.1707120434345716,1.3265849016722615,1.3271083511468948,0.8620615833388192,1.1345633708846727,-0.5353566172824146,-0.528629355673313,-0.5318098585753522,-0.25451810766527067,-0.3685761146869196,-0.3867019765120726,-0.2894923811355562,0.23484298140292753,-0.603618573325043,1.0764564947119821
21,1.1365079365079365,1.1663139329805996,13.107231040564374,0.3,567,273,294,752.6691583765092,402.9174286725483,745.7919696490674,-196.10364906479657,19,207241,0.12542402323864485,0.8593616702392833,0.938236693907914,0.758290824931068,0.10314212462587916,-0.5728422168002242,-0.5634865097272114,-0.5711032375232732,-0.3106199015762387,-0.4179258148001027,-0.19852558160848738,-0.48126918952668357,-0.03823025278652327,-0.832775634617191,0.54393048135002
22,0.9664365832614323,0.9672131147540983,10.42996836353178,0.4,3477,1708,1769,834.4353281572596,448.9303774917355,836.4841125066018,-139.0695446481372,28,542582,0.00358102554083991,0.3594948003769337,0.3357334692083502,0.027746830433548506,0.6188527477552761,-0.49607719597205685,-0.4866508475653926,-0.49583345317498306,0.025143879099751007,-0.35174246057886344,0.17139348340858784,0.121551328485744,1.1905993010660054,0.7192563184208033,-0.8887787768462247
23,1.167125721901377,1.1677920924033762,14.125477565526433,0.6,4502,2146,2356,695.1690606169083,504.8698489090365,683.8898337440561,-59.769209883247356,20,756576,0.0025562534365351267,0.9493522315806358,0.9427097836057665,1.0361394985447796,1.6502739940140694,-0.46903797042261647,-0.4631985688010186,-0.4658786305224771,-0.546737727136264,-0.27128115682046805,-0.4510147114828657,0.9597142026198129,0.09830636430820214,1.7096676482564408,-0.9008287141353595
28,1.0943112815596037,1.0967337807606266,13.886852029402364,0.5,15645,3021,12624,788.9605394853905,504.98149448392996,784.86247352656,-60.56301402999516,24,747124,0.0015900974938564416,0.7353389619756957,0.7276787139807365,0.971025808414677,1.1345633708846727,-0.17508861403489534,-0.4163475552877145,0.058101129266162135,-0.1615933376593377,-0.2711205698809209,-0.039163107542660454,0.951324109852736,0.6444528326871037,1.6659217119703467,-0.9121894044506963
29,0.6931864469542678,0.6945565635993335,8.083678948342898,0.3,10802,5487,5315,885.1865567216391,545.8605261034234,823.1698305516626,-369.1163113772455,19,179003,0.0959760450942163,-0.44363099193300864,-0.4893583248360271,-0.6124845732026314,0.10314212462587916,-0.3028456572894707,-0.2843080132033625,-0.3148797885654666,0.23354821578838303,-0.2123216556768831,0.11708660988061641,-2.3099221294584527,-0.03823025278652327,-0.9634673135049109,0.19766199058845743
32,0.8728617585968151,0.8749896145857374,11.115716593584121,0.2,86660,33576,53084,580.202670907047,599.9334710255457,572.4619540084921,-74.01113701113701,28,578846,0.003102725077136233,0.08446344553598045,0.05665397199952232,0.21486677779609217,-0.41256849850351746,1.6982680712270641,1.2196898365968656,2.122789586711462,-1.0188345584194127,-0.13454509583001512,-0.9055116038251836,0.8091845155748463,1.1905993010660054,0.8870940917469693,-0.8944029449600742
34,0.6446618674312906,0.6468779550376719,10.11321569105939,0.1,65566,29054,36512,713.1979951626658,328.2083349001931,709.2040376020958,-123.70670208799403,29,254670,0.19710213217104489,-0.586252481175706,-0.6336395772360522,-0.05868539177642295,-0.9282791216329143,1.1418139992857028,0.9775637987601099,1.2771144231725717,-0.47270389088252474,-0.5253846615719865,-0.3477620334914807,0.2839285027215819,1.3271359181607307,-0.6132637839915919,1.3867683318447193
34E,0.39916028315089885,0.4012893236966472,11.66208157828906,0.0,147907,72302,75605,886.3485477178423,514.42492993646,840.0,-219.4160474677349,35,353247,0.1694989624823424,-1.3078208472638952,-1.37682056288217,0.3639532539958508,-1.443989744762311,3.3139475319359177,3.2932353786725406,3.272044375394745,0.23831980397751792,-0.2575374753464628,0.18573423855323298,-0.7276689923307494,2.146355620729083,-0.157027732227488,1.0621922994439792
39,1.2710057589102643,1.2681236293615277,13.66991415122934,0.5,112174,61959,50215,644.1320476002605,390.81666387184293,641.4734414457284,-184.95558608058607,18,746891,0.0011193065654827813,1.2546722513817063,1.246325183556461,0.9118300240645232,1.1345633708846727,2.371320559684061,2.739429626937564,1.9763834773587543,-0.7563156062374768,-0.4353311153449578,-0.624024541066921,-0.3634400209667232,-0.17476686988124868,1.6648433366894897,-0.9177252705611859
4,0.6571227080394922,0.70841560883874,4.977244945933239,0.1,2127,1182,945,807.8714133900106,261.6952471536247,697.5,-337.00577565867087,17,44144,0.14676966292134833,-0.5496280804652152,-0.4474191729913557,-1.460136439503101,-0.9282791216329143,-0.531689834500588,-0.5148149996888188,-0.5378824716854854,-0.0839379144552415,-0.6210546709855946,-0.39550097217212393,-1.9705306377622378,-0.31130348697597404,-1.5876244465567921,0.794926403753211
43,0.34703742813563304,0.39371700105596624,3.892784230904611,0.1,17046,8740,8306,,,,-289.4934729802202,8,163853,0.17092149670741458,-1.4610182428711744,-1.3997353296325785,-1.756052962535781,-0.9282791216329143,-0.1381306091619529,-0.11012933096475874,-0.16224797501581528,-0.1615933376593377,-0.27128115682046805,-0.2306988478436327,-1.4683505613758558,-1.5401330408285026,-1.0335848478610608,1.0789193825991128
47,0.9664140320485058,0.9684148982243396,10.52490255521871,0.3,23090,13601,9489,735.1818757374313,401.0103792838163,737.9041294874455,-252.40183499925408,14,250018,0.14466158436592566,0.3594285187604123,0.33937021175245796,0.05365149948389082,0.10314212462587916,0.02130849251689358,0.1501481281074371,-0.10187905645037312,-0.3824295038651885,-0.4206688453697761,-0.2306988478436327,-1.0763114358332042,-0.7209133382601502,-0.6347942638480149,0.770138244232958
55,0.3622397702799713,0.3821966977745872,3.0694903086862886,0.1,1393,693,700,,,,-204.737109795479,6,79042,0.26617494496596744,-1.4163361312914982,-1.434597164648503,-1.980704968385852,-0.9282791216329143,-0.5510525579672118,-0.5409980232408254,-0.5503849104416422,-0.1615933376593377,-0.27128115682046805,-0.2306988478436327,-0.5725203334368131,-1.8132062750179534,-1.4261088218729032,2.198971414917128
57,0.8846678665606295,0.8857561424804319,11.443371981080741,0.3,23891,14640,9251,716.6690464265074,634.916048765072,711.1314295345138,-123.97962835512732,24,577078,0.0026998083447991434,0.11916348243505256,0.08923479127064966,0.3042740211173642,0.10314212462587916,0.04243865804382211,0.20578036015352053,-0.11402428267063959,-0.4584504007362614,-0.0842274267059347,-0.3399005032740117,0.2810438154732199,0.6444528326871037,0.878911398628707,-0.8991407021033551
66,1.3090747961715703,1.3091811414392058,14.978128323289615,0.7,11284,5416,5868,842.3825199990918,858.0460713065991,828.0242400117324,-135.62659929039887,33,582342,0.004014822904753564,1.3665632320273449,1.370570194929547,1.2688020967393119,2.165984617143466,-0.2901306263481729,-0.28810963829987063,-0.2866599982301416,0.057778148085640794,0.23671469281110472,0.13688698676111374,0.1579414519963722,1.8732823865396324,0.9032743491799131,-0.8836779051408055
7,0.6857466063348416,0.6786199095022624,5.197850678733031,0.1,884,494,390,423.7104319789961,296.21807950822347,421.32419645905475,-137.83184201484846,10,236574,0.08875447006010805,-0.46549787175560314,-0.5375845730751657,-1.3999398085818344,-0.9282791216329143,-0.5644798416790802,-0.5516532823141368,-0.5662043227453506,-1.6614527210388246,-0.5713982829235431,-1.5219788765115352,0.13463319503165797,-1.267059806639052,-0.6970160547314523,0.11274601178279028
70,0.6690218591300507,0.6639434753808788,12.947637447560167,0.1,9058,5234,3824,816.331311769991,429.64512873865175,597.6173285198556,-203.53318356029152,17,305177,0.20781054928779036,-0.5146545749564095,-0.5819972428170086,0.7147425612774134,-0.9282791216329143,-0.3488519103218844,-0.2978546491106379,-0.39096605871007717,-0.04919827247600314,-0.3794816618738219,-0.8029067658954455,-0.5597954656727374,-0.31130348697597404,-0.3795062719304661,1.5126848689758863
71,0.4250396825396825,0.496547619047619,6.281666666666666,0.1,2520,1232,1288,817.4977043980919,495.39012765708264,806.6700731522984,-63.86645230439443,12,425524,0.0035885167464114833,-1.23175715917388,-1.0885574073633815,-1.1041992120696926,-0.9282791216329143,-0.521322599728949,-0.51213779891663,-0.5203790574268662,-0.04440860946972699,-0.2849164435307831,0.04978668027404307,0.9164085029160944,-0.9939865724496011,0.17748613118237572,-0.8886906903760933
73,0.44853778959361945,0.5299278389669578,7.108393467527535,0.0,2633,1368,1265,712.7507868825998,568.4576770237745,702.7901251818548,-5.8957028719499025,13,491410,0.0032986711707128466,-1.1626924695802299,-0.9875448132327899,-0.8786104774863279,-1.443989744762311,-0.5183416899854497,-0.5048558128162765,-0.5215527557590768,-0.47454030248486867,-0.17981873460504855,-0.3739233790153597,1.5291288666328482,-0.8574499553548757,0.4824210400001501,-0.8920988832767686
77,0.6201614876437485,0.6196231954979202,9.288916075360902,0.2,4087,2013,2074,662.1499638175056,1024.2394089577058,668.7844371531468,-77.88924387646432,20,762773,0.0019048917567874059,-0.6582630104097892,-0.7161157853068327,-0.2836118209539258,-0.41256849850351746,-0.47998555930360937,-0.4703199228550409,-0.48026919268262475,-0.6823270155375895,0.47576115293249105,-0.5126272614520395,0.7681949635625015,0.09830636430820214,1.7383487281511643,-0.9084878486497889
8,0.6083011583011584,0.6028957528957529,8.109749034749035,0.2,1036,1020,16,959.21421875,450.4489686654762,821.7889039242219,-200.39811595927017,20,263669,0.14838301051697395,-0.693122412600963,-0.7667350554763673,-0.6053708352704448,-0.41256849850351746,-0.56047012237809,-0.5234891301907105,-0.5852896782343407,0.537534665733339,-0.34955817419539614,0.11145402616625341,-0.5266594482918869,0.09830636430820214,-0.5716144314060478,0.8138971946941427
